GHID,YEAR,SEASON,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
B1218,2012,2,3,1031,89,119,113,10,0,3126,5349
B1219,2012,2,1,911,88,118,124,10,0,2749,4726
B1219,2012,2,2,978,89,119,124,11,0,2407,4124
B1219,2012,2,3,1044,88,118,130,14,0,2965,4999
B1220,2012,2,1,305,87,117,131,15,0,2965,5034
B1220,2012,2,2,399,92,122,123,18,0,2902,4977
B1220,2012,2,3,428,93,123,124,12,0,2663,4619
B1058,2012,2,1,327,93,123,118,11,0,2767,4687
B1058,2012,2,2,390,93,123,126,10,0,3240,5607
B1058,2012,2,3,427,93,123,126,10,0,2612,4525
B1060,2012,2,1,906,98,128,130,10,0,2714,4571
B1060,2012,2,2,999,100,130,131,17,0,2578,4392
B1060,2012,2,3,1019,99,129,135,10,0,2970,5082
B1061,2012,2,1,781,93,123,125,13,0,2752,4715
B1061,2012,2,2,831,94,124,119,15,0,3143,5391
B1061,2012,2,3,885,93,123,123,13,0,2795,4778
B1012,2012,2,1,198,88,118,119,14,0,2787,4748
B1012,2012,2,2,207,90,120,119,14,0,2644,4499
B1012,2012,2,3,260,88,118,125,18,0,2642,4455
B1019,2012,2,1,178,84,114,120,14,0,3547,6063
B1019,2012,2,2,226,86,116,123,15,0,3195,5350
B1019,2012,2,3,263,86,116,120,20,0,3208,5452
B1075,2012,2,1,783,98,128,116,15,0,2137,3657
B1075,2012,2,2,843,96,126,130,12,0,2976,5000
B1075,2012,2,3,889,96,126,136,13,0,2524,4349
M1476,2012,2,1,49,90,120,125,17,0,3202,5479
M1476,2012,2,2,68,88,118,115,17,0,2712,4552
M1476,2012,2,3,133,88,118,112,12,0,2975,4970
A1323,2012,2,1,1396,101,131,122,17,0,2889,4966
A1323,2012,2,2,1439,100,130,108,10,0,3516,6037
A1323,2012,2,3,1499,101,131,117,15,0,2641,4555
A1322,2012,2,1,639,93,123,105,14,0,3123,5362
A1322,2012,2,2,656,93,123,112,13,0,3422,5843
A1322,2012,2,3,737,94,124,114,11,0,2877,4840
A1282,2012,2,1,166,92,122,145,10,9,2028,3392
A1282,2012,2,2,232,91,121,142,15,7,1983,3340
A1282,2012,2,3,285,91,121,145,13,9,2187,3700
A1288,2012,2,1,320,85,115,125,12,0,3266,5513
A1288,2012,2,2,375,86,116,126,19,9,2723,4596
A1288,2012,2,3,416,84,114,130,15,9,2670,4548
A1286,2012,2,1,45,91,121,130,14,0,3262,5475
A1286,2012,2,2,92,91,121,124,19,3,,
A1286,2012,2,3,107,91,121,120,23,5,3022,5054
A1285,2012,2,1,14,87,117,130,10,0,2724,4614
A1285,2012,2,2,82,87,117,127,10,3,2833,4974
A1285,2012,2,3,121,88,118,116,16,0,3063,5200
A1330,2012,2,1,1385,101,131,127,10,0,2681,4593
A1330,2012,2,2,1409,101,131,122,10,0,2826,4830
A1330,2012,2,3,1485,101,131,131,9,0,2921,4982
A1326,2012,2,1,455,90,120,129,12,0,3357,5686
A1326,2012,2,2,531,90,120,123,14,0,2513,4325
A1326,2012,2,3,574,93,123,123,12,0,3349,5737
A1266,2012,2,1,36,83,113,105,15,0,2412,4053
A1266,2012,2,2,60,86,116,99,14,0,2883,5023
A1266,2012,2,3,137,84,114,99,16,0,2897,4890
A1324,2012,2,1,1244,87,117,140,11,9,3221,5431
A1324,2012,2,2,1291,90,120,114,18,9,2637,4564
A1324,2012,2,3,1324,87,117,132,18,9,1804,3101
A1281,2012,2,1,23,86,116,125,12,5,3109,5260
A1281,2012,2,2,80,87,117,139,12,7,3421,5814
A1281,2012,2,3,108,86,116,142,15,9,3226,5464
A1292,2012,2,1,641,97,127,105,11,0,2520,4312
A1292,2012,2,2,673,94,124,106,14,0,2941,5038
A1292,2012,2,3,726,101,131,117,11,0,3083,5324
A1280,2012,2,1,16,89,119,121,13,0,2686,4497
A1280,2012,2,2,97,90,120,120,14,0,3204,5352
A1280,2012,2,3,135,87,117,120,15,0,2753,4599
A1289,2012,2,1,171,86,116,124,14,5,2487,4285
A1289,2012,2,2,236,91,121,120,15,7,2415,4044
A1289,2012,2,3,266,87,117,129,10,9,2308,3896
A1287,2012,2,1,1246,97,127,124,9,0,1422,2442
A1287,2012,2,2,1285,97,127,109,10,0,1609,2788
A1287,2012,2,3,1335,97,127,127,9,0,1602,2741
A1293,2012,2,1,151,86,116,128,12,9,3058,5138
A1293,2012,2,2,221,87,117,115,16,0,2897,4890
A1293,2012,2,3,282,88,118,116,12,0,2913,4911
M1428,2012,2,1,21,89,119,113,12,0,2940,4940
M1428,2012,2,2,64,86,116,118,17,0,2465,4132
M1428,2012,2,3,118,91,121,115,15,0,3618,6030
A1291,2012,2,1,454,92,122,128,11,0,2572,4346
A1291,2012,2,2,546,93,123,121,15,0,3037,5179
A1291,2012,2,3,586,93,123,123,14,5,2501,4226
A1290,2012,2,1,174,85,115,119,17,0,2785,4669
A1290,2012,2,2,224,85,115,120,12,0,2818,4795
A1290,2012,2,3,274,86,116,125,14,0,2228,3774
A1284,2012,2,1,490,87,117,125,14,0,3242,5410
A1284,2012,2,2,538,88,118,124,12,0,2402,4073
A1284,2012,2,3,560,92,122,132,13,0,3204,5415
A1329,2012,2,1,1231,94,124,126,13,0,2469,4254
A1329,2012,2,2,1273,96,126,130,11,3,3430,5909
A1329,2012,2,3,1303,95,125,118,13,0,3317,5721
A1328,2012,2,1,1056,94,124,122,13,0,3285,5679
A1328,2012,2,2,1140,94,124,123,9,0,2960,5042
A1328,2012,2,3,1172,95,125,120,10,0,3038,5216
A1271,2012,2,1,30,85,115,103,12,0,3517,5950
A1271,2012,2,2,63,92,122,113,15,0,3196,5413
A1271,2012,2,3,113,86,116,114,16,0,3732,6328
A1278,2012,2,1,184,93,123,115,14,0,2693,4671
A1278,2012,2,2,227,93,123,125,11,0,3346,5706
A1278,2012,2,3,254,93,123,118,12,0,3172,5410
A1325,2012,2,1,604,103,133,125,11,0,2154,3736
A1325,2012,2,2,661,102,132,119,10,0,2895,4948
A1325,2012,2,3,723,103,133,121,13,0,2336,4029
A1283,2012,2,1,485,93,123,127,11,0,2754,4697
A1283,2012,2,2,520,92,122,123,14,0,3191,5504
A1283,2012,2,3,576,95,125,122,14,0,3154,5367
M1377,2012,2,1,778,90,120,116,10,0,2079,3550
M1377,2012,2,2,808,93,123,129,14,0,2140,3625
M1377,2012,2,3,897,93,123,123,12,0,2424,4167
M1376,2012,2,1,940,89,119,138,11,0,2069,3625
M1376,2012,2,2,957,87,117,131,13,0,1840,3159
M1376,2012,2,3,1001,91,121,131,9,0,2096,3599
M1375,2012,2,1,905,92,122,112,12,0,2181,3681
M1375,2012,2,2,956,91,121,116,12,0,2334,4003
M1375,2012,2,3,1047,92,122,114,9,0,2364,4000
M1373,2012,2,1,1076,92,122,130,12,0,2916,4990
M1373,2012,2,2,1132,93,123,129,9,0,2334,3971
M1373,2012,2,3,1184,92,122,125,14,0,2612,4394
